gauge,lead_h,model,n_params,nwm_nse,nwm_rmse,nwm_mae,nwm_pbias,nwm_kge,nwm_r,nwm_alpha,nwm_beta,dl_nse,dl_rmse,dl_mae,dl_pbias,dl_kge,dl_r,dl_alpha,dl_beta,delta_nse,delta_kge,delta_rmse
20380357,1,lstm,59265,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-180.1894879103839,2.341093056410768,0.880263455956249,-228.08681550439792,-11.355902725037689,0.08573083815829075,13.109090986098227,-1.2808681550439793,2171.0288021432,30.26444237510988,-6.094021583537547
20380357,1,gru,45505,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-150.45367488623398,2.1403859222306467,0.5453382110062395,-55.16829728004556,-10.347026798077485,0.05319752827711707,12.293990797470576,0.4483170271995444,2200.7646151673503,31.27331830207008,-6.2947287177176685
20380357,1,transformer,72449,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-233.08414203655377,2.6609589500747184,0.8036881028685146,-87.60528187616333,-13.302458591114428,0.026500660538423676,15.242371721218014,0.12394718123836665,2118.1341480170304,28.317886509033137,-5.774155689873597
20380357,6,lstm,59265,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-1743.1494408340711,7.26536387574038,3.0231588896135486,191.2707229333468,-39.738091076778225,0.019623748922212265,41.6813529524407,2.912707229333468,146865.57571151824,281.57980362874184,-59.79858763941678
20380357,6,gru,45505,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-2752.2952692541903,9.128342317161318,3.7912863634343013,-171.27212535166032,-50.45964113231636,0.016363039384879405,52.42172410279774,-0.7127212535166033,145856.4298830981,270.85825357320374,-57.93560919799584
20380357,6,transformer,72449,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-10613.69503125389,17.92335406961111,5.196086901083737,-151.70983293794058,-101.0063549709208,-0.009967225368516396,102.99007222919383,-0.5170983293794057,137995.03012109842,220.31153973459928,-49.14059744554605
20380357,12,lstm,59265,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-22914.748730586798,26.33960262003573,9.342059844835077,714.8276483333358,-149.24338678932284,0.038452008651150296,151.07015973438632,8.148276483333357,273175.5363712883,296.8659928202236,-68.33969015631762
20380357,12,gru,45505,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-17093.518338745307,22.749435624295234,8.710931170763471,281.0892862911043,-128.76139683474173,0.0468728899432807,130.72744712869607,3.8108928629110426,278996.7667631298,317.34798277480473,-71.92985715205812
20380357,12,transformer,72449,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-21812.75294169894,25.698477108929236,11.189248771086737,1275.4694735715861,-145.19991734041005,0.07523789976447333,146.639549599686,13.75469473571586,274277.53216017614,300.9094622691364,-68.98081566742411
20380357,18,lstm,59265,-309641.94425326574,96.83346955827298,77.1593231192299,31033.40082981128,-455.81759309302385,0.007763519545606155,336.2225113558116,311.3340082981128,-41345.20309000034,35.38447167785155,12.827043800578016,1811.4527222252282,-200.54694357834904,0.047686865679516355,201.72899010602006,19.11452722225228,268296.7411632654,255.2706495146748,-61.44899788042143
20380357,18,gru,45505,-309641.94425326574,96.83346955827298,77.1593231192299,31033.40082981128,-455.81759309302385,0.007763519545606155,336.2225113558116,311.3340082981128,-33682.43411472906,31.937659036239452,13.623305546571734,188.4702172268236,-181.55535458507,0.035080637485729586,183.54307523438496,2.884702172268236,275959.5101385367,274.26223850795384,-64.89581052203353
20380357,18,transformer,72449,-309641.94425326574,96.83346955827298,77.1593231192299,31033.40082981128,-455.81759309302385,0.007763519545606155,336.2225113558116,311.3340082981128,-43242.11970919948,36.18706893897341,14.08042073548908,1697.1853295336557,-205.30568353935004,0.07559987937305174,206.60432082224585,17.971853295336558,266399.8245440663,250.5119095536738,-60.64640061929957
21609641,1,lstm,59265,0.9878809931743693,1.8666933497149087,0.7550363143552438,-4.2104872035626855,0.9568086916191587,0.9945541670073358,0.9920620044388757,0.9578951279643731,0.9896248417327425,1.7271769376791097,0.8541198716452837,-1.8889512917038394,0.977881118662777,0.9949394003692301,0.9896645491271914,0.9811104870829616,0.0017438485583731733,0.021072427043618336,-0.139516412035799
21609641,1,gru,45505,0.9878809931743693,1.8666933497149087,0.7550363143552438,-4.2104872035626855,0.9568086916191587,0.9945541670073358,0.9920620044388757,0.9578951279643731,0.9937653704715772,1.3388896713548615,0.6077201620833125,-2.673145485293361,0.9605818446315316,0.9974784225030003,0.9711406524497709,0.9732685451470665,0.005884377297207921,0.0037731530123729096,-0.5278036783600473
21609641,1,transformer,72449,0.9878809931743693,1.8666933497149087,0.7550363143552438,-4.2104872035626855,0.9568086916191587,0.9945541670073358,0.9920620044388757,0.9578951279643731,0.9963922157728738,1.0184969739133722,0.4273671444788455,-1.6715184941124457,0.9774401823447169,0.9983837909512356,0.9849356104227776,0.9832848150588757,0.008511222598504564,0.020631490725558144,-0.8481963758015365
21609641,6,lstm,59265,0.9279643038143622,4.552031283386263,2.489587829702631,-16.373977219708056,0.7907770932775307,0.9790186834193175,0.8714570264355596,0.8362602278029194,0.9481393094889925,3.8623400426338828,1.7932072133381634,-10.690614855128064,0.8433850817997653,0.9825281107113857,0.8868892529885682,0.8930938514487193,0.020175005674630264,0.052607988522234694,-0.6896912407523805
21609641,6,gru,45505,0.9279643038143622,4.552031283386263,2.489587829702631,-16.373977219708056,0.7907770932775307,0.9790186834193175,0.8714570264355596,0.8362602278029194,0.9510631700909034,3.751882902965242,1.6810770768917698,-10.169268686518532,0.8342681936623676,0.9857997153996978,0.8699077981301558,0.8983073131348147,0.02309886627654112,0.043491100384836945,-0.8001483804210214
21609641,6,transformer,72449,0.9279643038143622,4.552031283386263,2.489587829702631,-16.373977219708056,0.7907770932775307,0.9790186834193175,0.8714570264355596,0.8362602278029194,0.9402235705357925,4.146640111163191,1.8139565055097626,-10.42964829670965,0.8211245909873133,0.9817100109960614,0.8558329722426591,0.8957035170329035,0.012259266721430295,0.030347497709782623,-0.4053911722230721
21609641,12,lstm,59265,0.7454450945244524,8.55916963552544,5.34007174321972,-37.07032752872008,0.49602066135726597,0.968404636754669,0.6600353128757267,0.6292967247127992,0.8949292843000105,5.498974980847567,2.1483545923628746,-11.595064008627693,0.7775292474310209,0.9625821690486864,0.813858680731307,0.884049359913723,0.1494841897755581,0.28150858607375495,-3.060194654677872
21609641,12,gru,45505,0.7454450945244524,8.55916963552544,5.34007174321972,-37.07032752872008,0.49602066135726597,0.968404636754669,0.6600353128757267,0.6292967247127992,0.8700041731941921,6.1165369517618675,2.6481149256476724,-15.647928288890771,0.7050236853000726,0.9659029642091099,0.7522851388979689,0.8435207171110923,0.1245590786697397,0.20900302394280668,-2.4426326837635717
21609641,12,transformer,72449,0.7454450945244524,8.55916963552544,5.34007174321972,-37.07032752872008,0.49602066135726597,0.968404636754669,0.6600353128757267,0.6292967247127992,0.9018303655490081,5.315320854051901,2.233759567376489,-12.70363415703647,0.7714776540971328,0.9682099377142579,0.8127204697858413,0.8729636584296353,0.15638527102455568,0.2754569927398668,-3.243848781473538
21609641,18,lstm,59265,0.5873735596264165,10.900047515757956,7.2004228608398755,-50.31685445663474,0.3317152881522437,0.9635002785479901,0.5617151129888825,0.4968314554336526,0.8261699803046095,7.074768836613644,3.0073974057629638,-16.982245673999383,0.6821982275145794,0.9427140024284533,0.7375564550919556,0.8301775432600061,0.23879642067819307,0.35048293936233565,-3.8252786791443123
21609641,18,gru,45505,0.5873735596264165,10.900047515757956,7.2004228608398755,-50.31685445663474,0.3317152881522437,0.9635002785479901,0.5617151129888825,0.4968314554336526,0.8468176324288982,6.6413176579059705,2.7939572827693184,-15.921549043406445,0.6789098539461833,0.959177869009503,0.7241687778367061,0.8407845095659356,0.2594440728024817,0.3471945657939396,-4.258729857851986
21609641,18,transformer,72449,0.5873735596264165,10.900047515757956,7.2004228608398755,-50.31685445663474,0.3317152881522437,0.9635002785479901,0.5617151129888825,0.4968314554336526,0.8663496057633919,6.203474288290649,2.6213341922521294,-13.547456336460238,0.7264267214144988,0.9569324410324117,0.7662604723163754,0.8645254366353976,0.27897604613697546,0.3947114332622551,-4.696573227467307
